"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 13 20:18:21 MSK 2020","Sun Sep 13 20:18:24 MSK 2020","2334","bdd","contact_scenarios","","","","test_delete_contact","contacts.feature: Delete a contact"
"passed","Sun Sep 13 20:16:27 MSK 2020","Sun Sep 13 20:16:28 MSK 2020","1041","test","test_del_group","","","","test_delete_some_group",""
"passed","Sun Sep 13 20:16:34 MSK 2020","Sun Sep 13 20:16:35 MSK 2020","856","test","test_group_db_info_matches_ui","","","","test_group_db_info_matches_ui",""
"passed","Sun Sep 13 20:16:24 MSK 2020","Sun Sep 13 20:16:24 MSK 2020","6","test","test_contact_data","","","","test_contact_db_info_matches_ui",""
"passed","Sun Sep 13 20:16:28 MSK 2020","Sun Sep 13 20:16:31 MSK 2020","2991","test","test_edit_contact","","","","test_edit_some_contact",""
"passed","Sun Sep 13 20:16:32 MSK 2020","Sun Sep 13 20:16:34 MSK 2020","1441","test","test_edit_group","","","","test_edit_group",""
"passed","Sun Sep 13 20:18:24 MSK 2020","Sun Sep 13 20:18:27 MSK 2020","2959","bdd","contact_scenarios","","","","test_edit_contact","contacts.feature: Edit a contact"
"passed","Sun Sep 13 20:18:18 MSK 2020","Sun Sep 13 20:18:21 MSK 2020","3529","bdd","contact_scenarios","","","","test_add_new_contact[Lisa-Robinson-New York, New York(NY), 10016, 4304 Turkey Pen Road-917-283-7652]","contacts.feature: Add new contact"
"passed","Sun Sep 13 20:15:51 MSK 2020","Sun Sep 13 20:15:56 MSK 2020","4121","test","test_add_contact","","","","test_add_contact[None:fn8728966874; lne30H097264p21q; ad0VQZ4117KD8899; hm385093054034426; mb91; wp476981500a3707; sp7q85695Qo26047m2X; e651L3292IAXz73781d017; e2589; e384x; None; None]",""
"passed","Sun Sep 13 20:15:32 MSK 2020","Sun Sep 13 20:15:36 MSK 2020","4035","test","test_add_contact","","","","test_add_contact[None:fn2; ln4l7630430; ad7422923t2O0; hm668039095161554; mb5n45g253548826P6; wp87A78p739gg5828428; sp88059425x07N8790; e85x9K48856; e26378574998524ebgE5; e39h1lx3Z329V7; None; None]",""
"passed","Sun Sep 13 20:16:12 MSK 2020","Sun Sep 13 20:16:14 MSK 2020","1368","test","test_add_group","","","","test_add_group[None:nameP23; headerp1ljXH9R; footer7MP]",""
"passed","Sun Sep 13 20:16:17 MSK 2020","Sun Sep 13 20:16:24 MSK 2020","6667","test","test_contact_data","","","","test_contact_data_for_random_contact",""
"passed","Sun Sep 13 20:15:42 MSK 2020","Sun Sep 13 20:15:46 MSK 2020","4060","test","test_add_contact","","","","test_add_contact[None:fn00207B0M32177L80618; ln16; ad6v9842; hm8675t9KG529647N; mb0GXh4; wp3H0271; sp20J30RY9E6729592862; e264V4U528941U053; e26H67q31131544; e39uk4f91Y1177e2eu27362Z7n47; None; None]",""
"passed","Sun Sep 13 20:15:56 MSK 2020","Sun Sep 13 20:16:01 MSK 2020","4102","test","test_add_contact","","","","test_add_contact[None:fn3787o3gN85n518; ln9; ad43b7494815O67w5iiVZ26y11942438639782713174870; hm089n480099857Q88037; mbU11G0085644735; wp5W864fg2; sp5620680T475963514; es89Wr7689A655H; e2973147Q45g76C37654014; e3e8; None; None]",""
"passed","Sun Sep 13 20:18:46 MSK 2020","Sun Sep 13 20:19:02 MSK 2020","15952","bdd","group_scenarios","","","","test_add_new_group[name1-header1-footer1]","groups.feature: Add new group"
"passed","Sun Sep 13 20:16:01 MSK 2020","Sun Sep 13 20:16:05 MSK 2020","4091","test","test_add_contact","","","","test_add_contact[None:fn63965Cz2NA; ln74468n357o; ad9C231397224514b814897c13740; hm8123600533; mb79D812950075W9Z3d2; wp1666l4709; sp4; e138248M1405V1; e24; e371yw8b940707; None; None]",""
"passed","Sun Sep 13 20:16:14 MSK 2020","Sun Sep 13 20:16:15 MSK 2020","1395","test","test_add_group","","","","test_add_group[None:nameMIDuovDT; headerwoIwXyWIGGl; footer7NteN]",""
"passed","Sun Sep 13 20:16:35 MSK 2020","Sun Sep 13 20:16:39 MSK 2020","4124","test","test_remove_contact_from_group","","","","test_remove_contact_from_group",""
"passed","Sun Sep 13 20:15:47 MSK 2020","Sun Sep 13 20:15:51 MSK 2020","4083","test","test_add_contact","","","","test_add_contact[None:fn3727; lne986X25124Z791C7R4; ad82347t0243t72o2429; hm3110680U689E; mb61h; wp321498779; sp758J0926O9E57; e7212; e2q71r; e37P89; None; None]",""
"passed","Sun Sep 13 20:19:02 MSK 2020","Sun Sep 13 20:19:04 MSK 2020","1489","bdd","group_scenarios","","","","test_add_new_group[name2-header2-footer2]","groups.feature: Add new group"
"passed","Sun Sep 13 20:15:37 MSK 2020","Sun Sep 13 20:15:41 MSK 2020","3991","test","test_add_contact","","","","test_add_contact[None:fn435b47m432812420; ln4; adl5473420sc00b2L47F4v8524; hm; mb759R; wp9823287162318658; sph96rc8J; et42991W35; e248047G0; e386525284X8; None; None]",""
"passed","Sun Sep 13 20:16:11 MSK 2020","Sun Sep 13 20:16:12 MSK 2020","1459","test","test_add_group","","","","test_add_group[None:nameWuAQ8jd1; headerC20SQQ7p1gHRhX; footerwUd8MpLK6U4tM]",""
"passed","Sun Sep 13 20:18:01 MSK 2020","Sun Sep 13 20:18:18 MSK 2020","17068","bdd","contact_scenarios","","","","test_add_new_contact[David-Wilson-Tampa, Florida(FL), 33607, 4031 Maryland Avenue-727-529-4263]","contacts.feature: Add new contact"
"passed","Sun Sep 13 20:16:15 MSK 2020","Sun Sep 13 20:16:17 MSK 2020","1488","test","test_add_group","","","","test_add_group[None:namepEQmQ; headerGfCuU06sWu4mqvukQ; footer0JNhgEY56HQZq6dCq]",""
"passed","Sun Sep 13 20:19:04 MSK 2020","Sun Sep 13 20:19:05 MSK 2020","827","bdd","group_scenarios","","","","test_delete_group","groups.feature: Delete a group"
"passed","Sun Sep 13 20:16:08 MSK 2020","Sun Sep 13 20:16:09 MSK 2020","1554","test","test_add_group","","","","test_add_group[None:; ; ]",""
"passed","Sun Sep 13 20:16:24 MSK 2020","Sun Sep 13 20:16:26 MSK 2020","2646","test","test_del_contact","","","","test_delete_some_contact",""
"passed","Sun Sep 13 20:16:09 MSK 2020","Sun Sep 13 20:16:11 MSK 2020","1349","test","test_add_group","","","","test_add_group[None:name28601Tk; headerb; footerqPkxH]",""
"passed","Sun Sep 13 20:15:27 MSK 2020","Sun Sep 13 20:15:31 MSK 2020","4050","test","test_add_contact","","","","test_add_contact[None:; ; ; ; ; ; ; ; ; ; None; None]",""
"passed","Sun Sep 13 20:16:06 MSK 2020","Sun Sep 13 20:16:08 MSK 2020","1330","test","test_add_contact_to_group","","","","test_add_contact_to_group",""
